Model;Vdot_min;Psat_min;Vdot_mean;Psat_mean;Vdot_max;Psat_max;N;SPL_set;Supplier;Typology;Length - [mm];Width - [mm];Depth - [mm];Nominal Voltage - [V];Current Comsumption - [A];Power Input - [W];Rotational Speed - [rpm];Flowrate - [m^3/h];Static Pressure - [Pa];Sound Level - [db-A];Expected life - [h];Sensor type;IP rating;PWM control function;Ribbed
9GA1224P4G001;1016.652;148.8530931;1161.888;192.862399;1251.264;217.7236035;7;68.46128036;Sanyo Denki;Low Power Consumption Fan;120;120;25;24;0.47;11.28;6400;228;365;57;40000/60℃ （70000/40℃）;Pulse sensor;;Yes;Yes
9GA1224P4G0011;1016.652;148.8530931;1161.888;192.862399;1251.264;217.7236035;7;68.46128036;Sanyo Denki;Low Power Consumption Fan;120;120;25;24;0.47;11.28;6400;228;365;57;40000/60℃ （70000/40℃）;Pulse sensor;;Yes;No
9GP1224P1G001;1042.6416;153.5864509;1197.35616;203.2938462;1284.80352;236.287259;4;71.03089987;Sanyo Denki;G Proof Fan;120;120;38;24;1.6;38.4;6550;420;370;62;40000/60℃ （70000/40℃）;Pulse sensor;;Yes;No
9LG1224P1G001;1042.6416;153.5864509;1197.35616;203.2938462;1284.80352;236.287259;4;71.03089987;Sanyo Denki;Long Life Fan;120;120;38;24;1.6;38.4;6550;420;370;62;180000/60℃ （215000/40℃）;Pulse sensor;;Yes;No
9WL0924P1H001;1066.044;162.918283;1196.58;198.9059876;1261.848;228.9449344;7;72.46128036;Sanyo Denki;Splash Proof Fan;92;92;38;24;0.95;22.8;9000;222;430;61;100000/60℃ （135000/40℃）;Pulse sensor;IP68;Yes;No
9LG0924P1H001;1066.044;162.918283;1196.58;198.9059876;1261.848;228.9449344;7;72.46128036;Sanyo Denki;Long Life Fan;92;92;38;24;0.9;21.6;9000;222;430;61;180000/60℃ （215000/40℃）;Pulse sensor;;Yes;
9GA0924P1H01;1072.43136;163.3600159;1167.5664;194.4820327;1228.10688;217.3777038;6;73.79181246;Sanyo Denki;Low Power Consumption Fan;92;92;38;24;1.1;26.4;9700;240;500;63;40000/60℃ （70000/40℃）;Pulse sensor;;Yes;Yes
9GA0924P1H011;1072.43136;163.3600159;1167.5664;194.4820327;1228.10688;217.3777038;6;73.79181246;Sanyo Denki;Low Power Consumption Fan;92;92;38;24;1.1;26.4;9700;240;500;63;40000/60℃ （70000/40℃）;Pulse sensor;;Yes;No
9GV1224P1J01;1057.275;157.2089593;1247.775;220.9815547;1362.075;265.3635858;5;74;Sanyo Denki;DC Fan;120;120;38;24;1.5;36;6400;381;360;64;40000/60℃ （70000/40℃）;Pulse sensor;;Yes;Yes
9GV1224P1J011;1057.275;157.2089593;1247.775;220.9815547;1362.075;265.3635858;5;74;Sanyo Denki;DC Fan;120;120;38;24;1.5;36;6400;381;360;64;40000/60℃ （70000/40℃）;Pulse sensor;;Yes;No
9WV1224P1J601;1057.275;157.2089593;1247.775;220.9815547;1362.075;265.3635858;5;74;Sanyo Denki;Splash Proof Fan;120;120;38;24;1.5;36;6400;381;360;64;60000/60℃ （90000/40℃）;Pulse sensor;IP68;Yes;No
9WV0924P1H001;1022.625;148.7812915;1143.825;187.6318175;1219.575;211.2492401;5;74;Sanyo Denki;Splash Proof Fan;92;92;38;24;1.6;38.4;8500;303;385;64;30000/60℃ （53000/40℃）;Pulse sensor;IP68;Yes;Yes
9GV1424P1S001;1039.5;154.0984761;1130.976;181.9849454;1189.188;202.5777424;3;74.7815125;Sanyo Denki;DC Fan;140;140;38;24;1.55;37.2;6650;462;480;67;40000/60℃ （70000/40℃）;Pulse sensor;;Yes;No
9LG1424P1A001;1081.08;165.2298667;1176.21504;194.8333737;1236.75552;216.6714181;3;75.7815125;Sanyo Denki;Long Life Fan;140;140;38;24;1.86;44.64;6900;480;516;68;180000/60℃ （215000/40℃）;Pulse sensor;;Yes;No
9WL1424P1A001;1081.08;165.2298667;1176.21504;194.8333737;1236.75552;216.6714181;3;75.7815125;Sanyo Denki;Splash Proof Fan;140;140;38;24;1.86;44.64;6900;480;516;68;100000/60℃ （135000/40℃）;Pulse sensor;IP68;Yes;No
9GV0824P1G03;1053;157.3088611;1145.664;185.7762984;1204.632;206.7981121;6;75.79181246;Sanyo Denki;DC Fan;80;80;38;24;1.6;38.4;10200;234;490;65;40000/60℃ （70000/40℃）;Pulse sensor;;Yes;Yes
9GV0824P1G031;1053;157.3088611;1145.664;185.7762984;1204.632;206.7981121;6;75.79181246;Sanyo Denki;DC Fan;80;80;38;24;1.6;38.4;10200;234;490;65;40000/60℃ （70000/40℃）;Pulse sensor;;Yes;No
